项目名称,建设地点,建设单位,项目概况,发布日期
青海矿业集团股份有限公司60万吨/年烯烃项目,青海省海西蒙古族藏族自治州格尔木市格尔木工业园,青海省矿业集团股份有限公司,项目以当地煤炭为原料，采用煤气化、甲醇合成、甲醇制烯烃等生产工艺，生产乙烯26万吨/年、聚丙烯41.54万吨/年等产品。建设内容主要包括：（1）主体工程：空分、煤气化、变换、低温甲醇洗、硫磺回收、甲醇合成、MTO、MTBE/丁烯-1、烯烃转化和聚丙烯等10套生产装置。（2）公用工程：循环水系统、热动力站、火炬系统等。（3）储运工程：煤储运、罐区、仓库等。（4）环保工程：废水处理系统、回用水处理系统、废气处理设施等。项目总投资211.44亿元，其中环保投资为 15.93亿元，占总投资的7.5%。,2017/4/5
锡林郭勒峰峰能源有限公司查干淖尔一号井项目,内蒙古锡林郭勒盟阿巴嘎旗查干淖尔,锡林郭勒峰峰能源有限公司,该项目属查干淖尔矿区规划矿井，井田面积83.4平方公里，设计规模500万吨/年，配套同等规模选煤厂，服务年限192.6年。采用立井开拓，采用综采一次采全高，全部跨落法管理顶板。主要建设主立井、副立井、回风立井、选煤厂等主体及其辅助、储运、公用及环保工程。产品煤经全封闭输煤廊道输至查干淖尔电厂。总投资29.22亿元，其中环保投资2947.49万元，占总投资的1.01%。,2017/3/17
大同煤矿集团有限责任公司梵王寺矿井及选煤厂项目,山西省朔州市朔城区,大同煤矿集团有限责任公司,该项目属晋北煤炭基地朔南矿区，井田面积67平方公里，设计规模600万吨/年，配套建设同等规模选煤厂，服务年限64.3年。属瓦斯矿井。立井开拓方式，全部冒落法管理顶板。主要建设主立井、副立井、回风立井、选煤厂等主体工程及其辅助工程，原煤仓、产品仓、中煤仓及场外道路等储运工程，供水、供电以及矿井水、生活污水处理站等公用及环保工程。工程总投资68.747亿元，其中环保投资2588万元，占总投资的0.38%。,2017/3/17
黑龙江省富锦市锦西灌区工程,黑龙江省佳木斯市,富锦市锦西灌区建设管理站,工程任务为建设从松花江提水的灌溉水源工程和灌区灌排工程系统，解决锦西灌区农业灌溉用水要求。灌区多年平均引松水量3.53亿立方米，设计灌溉面积110.33万亩。工程建设内容主要包括新建松花江引渠及锦西渠首提水泵站1座；新建灌溉总干渠9.398公里，结合现有排水沟道扩建（灌排）干渠141.01公里；新扩建（灌排）支渠（沟）83条，总长289.34公里。新建渠系建筑物332座，新建机电井1764眼。工程总投资26.26亿元，其中环保投资7287.4万元。,2017/3/17
江苏省淮河流域重点平原洼地近期治理工程,江苏省徐州、宿迁、盐城、淮安、扬州、泰州和南通市,江苏省水利厅,工程任务为通过疏浚河道和加固堤防，提高现有河道的排涝防洪能力；通过新建、重建、扩建、维修加固现有建筑物，使治理区形成完整的防洪排涝体系。工程主要建设内容包括：疏浚河道430.77公里，疏浚排涝沟199.98公里；堤防工程254.1公里；跨河桥梁工程174座；泵站工程180座；涵闸工程432座；闸站结合工程102座。工程总投资76.83亿元，其中环保投资28614.17万元。,2017/3/17
蒙西煤制天然气外输管道项目,内蒙古自治区、山西省、河北省、天津市,中海石油气电集团,工程包括1条干线、3条支线、1条联络线和5条连接管道，线路全长1279公里。干线起于内蒙古鄂尔多斯杭锦旗首站，止于河北黄骅市黄骅末站，设计输气量200亿立方米/年，气源为鄂尔多斯地区及山西大同煤制天然气项目；全线设工艺场站17座、截断阀室50座；穿越大中型河流102处，穿越铁路23处、高等级公路124处，设山体隧道12处；新改扩建伴行路61.2公里、施工便道506.15公里。项目总投资210.6亿元，其中环保投资12.6亿元，占总投资的6.0%。,2017/2/28
